Implementing agency,Sourcing Agency,Local partner agency,Agency / Local contact name,Agency / Local contact email,Agency / Local contact phone #,District,VDC / Municipalities,Municipal Ward,Action type,Action description,Targeting,# Items / # Man-hours / NPR,Total Number Households,Average cost per households (NPR),Female headed households,Vulnerable Caste / Ethnicity households ,Activity Status,Start date,Completion Date,Additional Comments,Last Update,Priority,Hard to Reach Access Methods,Shelter Cluster Hub,District HLCIT Code,VDC / Municipality HLCIT Code,UID,UNOCHA Activity Categories
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Jyamdi Mandan,,Shelter,Tool Kits,Targeted group,85,85,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 071,ActionAid NepalKabhrepalanchokJyamdi MandanShelterTool Kits8585,
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Jyamdi Mandan,,Shelter,Fixings,Targeted group,85,85,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 071,ActionAid NepalKabhrepalanchokJyamdi MandanShelterFixings8585,
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Jyamdi Mandan,,Cash,Other Cash,Targeted group,,85,,85,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 071,ActionAid NepalKabhrepalanchokJyamdi MandanCashOther Cash85,
ActionAid Nepal,IOM,,,,,Kabhrepalanchok,Jyamdi Mandan,,Shelter,Tarpaulin,Targeted group,204,204,,,,Completed,01/06/2015,20/07/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 071,ActionAid NepalKabhrepalanchokJyamdi MandanShelterTarpaulin204204,Distribution of Shelter Material
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Jaisithok Mandan,,Shelter,CGI Bundle (72ft/bundle),Targeted group,98,65,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 070,ActionAid NepalKabhrepalanchokJaisithok MandanShelterCGI Bundle (72ft/bundle)9865,Distribution of Shelter Material
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Jaisithok Mandan,,Shelter,Tool Kits,Targeted group,65,65,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 070,ActionAid NepalKabhrepalanchokJaisithok MandanShelterTool Kits6565,
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Jaisithok Mandan,,Shelter,Fixings,Targeted group,65,65,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 070,ActionAid NepalKabhrepalanchokJaisithok MandanShelterFixings6565,
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Jaisithok Mandan,,Cash,Other Cash,Targeted group,,65,,65,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 070,ActionAid NepalKabhrepalanchokJaisithok MandanCashOther Cash65,
ActionAid Nepal,IOM,,,,,Kabhrepalanchok,Jaisithok Mandan,,Shelter,Tarpaulin,Targeted group,45,45,,,,Completed,01/06/2015,20/07/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 070,ActionAid NepalKabhrepalanchokJaisithok MandanShelterTarpaulin4545,Distribution of Shelter Material
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Mahadevsthan Mandan,,Shelter,CGI Bundle (72ft/bundle),Targeted group,83,55,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 072,ActionAid NepalKabhrepalanchokMahadevsthan MandanShelterCGI Bundle (72ft/bundle)8355,Distribution of Shelter Material
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Mahadevsthan Mandan,,Shelter,Tool Kits,Targeted group,55,55,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 072,ActionAid NepalKabhrepalanchokMahadevsthan MandanShelterTool Kits5555,
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Mahadevsthan Mandan,,Shelter,Fixings,Targeted group,55,55,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 072,ActionAid NepalKabhrepalanchokMahadevsthan MandanShelterFixings5555,
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Mahadevsthan Mandan,,Cash,Other Cash,Targeted group,,55,,55,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 072,ActionAid NepalKabhrepalanchokMahadevsthan MandanCashOther Cash55,
ActionAid Nepal,IOM,,,,,Kabhrepalanchok,Mahadevsthan Mandan,,Shelter,Tarpaulin,Targeted group,280,280,,,,Completed,01/06/2015,20/07/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 072,ActionAid NepalKabhrepalanchokMahadevsthan MandanShelterTarpaulin280280,Distribution of Shelter Material
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Chandeni Mandan,,Shelter,CGI Bundle (72ft/bundle),Targeted group,110,73,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 068,ActionAid NepalKabhrepalanchokChandeni MandanShelterCGI Bundle (72ft/bundle)11073,Distribution of Shelter Material
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Chandeni Mandan,,Shelter,Tool Kits,Targeted group,73,73,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 068,ActionAid NepalKabhrepalanchokChandeni MandanShelterTool Kits7373,
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Chandeni Mandan,,Shelter,Fixings,Targeted group,73,73,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 068,ActionAid NepalKabhrepalanchokChandeni MandanShelterFixings7373,
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Chandeni Mandan,,Cash,Other Cash,targeted group,,73,,73,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 068,ActionAid NepalKabhrepalanchokChandeni MandanCashOther Cash73,
ActionAid Nepal,IOM,,,,,Kabhrepalanchok,Chandeni Mandan,,Shelter,Tarpaulin,Targeted group,106,106,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 068,ActionAid NepalKabhrepalanchokChandeni MandanShelterTarpaulin106106,Distribution of Shelter Material
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Naya Gaun Deupur,,Shelter,CGI Bundle (72ft/bundle),Targeted group,123,82,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 061,ActionAid NepalKabhrepalanchokNaya Gaun DeupurShelterCGI Bundle (72ft/bundle)12382,Distribution of Shelter Material
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Naya Gaun Deupur,,Shelter,Tool Kits,Targeted group,82,82,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 061,ActionAid NepalKabhrepalanchokNaya Gaun DeupurShelterTool Kits8282,
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Naya Gaun Deupur,,Shelter,Fixings,Targeted group,82,82,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 061,ActionAid NepalKabhrepalanchokNaya Gaun DeupurShelterFixings8282,
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Naya Gaun Deupur,,Cash,Other Cash,Targeted group,,82,,82,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 061,ActionAid NepalKabhrepalanchokNaya Gaun DeupurCashOther Cash82,
ActionAid Nepal,IOM,,,,,Kabhrepalanchok,Naya Gaun Deupur,,Shelter,Tarpaulin,Targeted group,127,127,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 061,ActionAid NepalKabhrepalanchokNaya Gaun DeupurShelterTarpaulin127127,Distribution of Shelter Material
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Gairi Bisauna Deupur,,Shelter,CGI Bundle (72ft/bundle),Targeted group,98,65,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 060,ActionAid NepalKabhrepalanchokGairi Bisauna DeupurShelterCGI Bundle (72ft/bundle)9865,Distribution of Shelter Material
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Gairi Bisauna Deupur,,Shelter,Tool Kits,Targeted group,65,65,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 060,ActionAid NepalKabhrepalanchokGairi Bisauna DeupurShelterTool Kits6565,
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Gairi Bisauna Deupur,,Shelter,Fixings,Targeted group,65,65,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 060,ActionAid NepalKabhrepalanchokGairi Bisauna DeupurShelterFixings6565,
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Gairi Bisauna Deupur,,Cash,Other Cash,Targeted group,,65,,65,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 060,ActionAid NepalKabhrepalanchokGairi Bisauna DeupurCashOther Cash65,
ActionAid Nepal,IOM,,,,,Kabhrepalanchok,Gairi Bisauna Deupur,,Shelter,Tarpaulin,Targeted group,70,70,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 060,ActionAid NepalKabhrepalanchokGairi Bisauna DeupurShelterTarpaulin7070,Distribution of Shelter Material
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Baluwa Pati Naldhun,,Shelter,CGI Bundle (72ft/bundle),Targeted group,113,75,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 059,ActionAid NepalKabhrepalanchokBaluwa Pati NaldhunShelterCGI Bundle (72ft/bundle)11375,Distribution of Shelter Material
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Baluwa Pati Naldhun,,Shelter,Tool Kits,Targeted group,75,75,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 059,ActionAid NepalKabhrepalanchokBaluwa Pati NaldhunShelterTool Kits7575,
ActionAid Nepal,DEC,,,,,Kabhrepalanchok,Baluwa Pati Naldhun,,Shelter,Fixings,Targeted group,75,75,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 059,ActionAid NepalKabhrepalanchokBaluwa Pati NaldhunShelterFixings7575,
ActionAid Nepal,IOM,,,,,Kabhrepalanchok,Baluwa Pati Naldhun,,Cash,Other Cash,Targeted group,,75,,75,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 059,ActionAid NepalKabhrepalanchokBaluwa Pati NaldhunCashOther Cash75,
ActionAid Nepal,,,,,,Kabhrepalanchok,Baluwa Pati Naldhun,,Shelter,Tarpaulin,Targeted group,122,122,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 05 24,524 2 05 24 5 059,ActionAid NepalKabhrepalanchokBaluwa Pati NaldhunShelterTarpaulin122122,Distribution of Shelter Material
ActionAid Nepal,DEC,HOMENET,Rajkumar Trikhatri,mail.nepal@actionaid.org,977-1-4002177,Lalitpur,Badikhel,,Cash,Other Cash,Targeted group,,50,,50,,Ongoing / In Country Stock,01/06/2015,01/11/2015,"The average cost per HH for a comprehensive package of CGI, Toolkits and CfW is 25,000 rps. This is applicable on all the CfW, CGI and Toolkit lines",16/08/2015,TRUE,,Central,524 2 05 25,524 2 05 25 5 023,ActionAid NepalHOMENETLalitpurBadikhelCashOther Cash50,
ActionAid Nepal,DEC,HOMENET,,,,Lalitpur,Badikhel,,Shelter,CGI Bundle (72ft/bundle),Targeted group,100,50,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,"Additionally, we offer technical support from an engineer or technical advisor on safe and sustainable HH construction",16/08/2015,TRUE,,Central,524 2 05 25,524 2 05 25 5 023,ActionAid NepalHOMENETLalitpurBadikhelShelterCGI Bundle (72ft/bundle)10050,Distribution of Shelter Material
ActionAid Nepal,DEC,HOMENET,,,,Lalitpur,Badikhel,,Shelter,Tool Kits,Targeted group,50,50,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,"Procurement of materials for each line has been completed but construction is ongoing, due for completion by November. ",16/08/2015,TRUE,,Central,524 2 05 25,524 2 05 25 5 023,ActionAid NepalHOMENETLalitpurBadikhelShelterTool Kits5050,
ActionAid Nepal,DEC,HOMENET,,,,Lalitpur,Badikhel,,Shelter,Fixings,Targeted group,50,50,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,Central,524 2 05 25,524 2 05 25 5 023,ActionAid NepalHOMENETLalitpurBadikhelShelterFixings5050,
ActionAid Nepal,DEC,HOMENET,,,,Lalitpur,Thecho,,Cash,Other Cash,Targeted group,,,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,Central,524 2 05 25,524 2 05 25 5 039,ActionAid NepalHOMENETLalitpurThechoCashOther Cash,
ActionAid Nepal,DEC,HOMENET,,,,Lalitpur,Thecho,,Shelter,CGI Bundle (72ft/bundle),Targeted group,100,50,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,Central,524 2 05 25,524 2 05 25 5 039,ActionAid NepalHOMENETLalitpurThechoShelterCGI Bundle (72ft/bundle)10050,Distribution of Shelter Material
ActionAid Nepal,DEC,HOMENET,,,,Lalitpur,Thecho,,Shelter,Tool Kits,Targeted group,50,50,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,Central,524 2 05 25,524 2 05 25 5 039,ActionAid NepalHOMENETLalitpurThechoShelterTool Kits5050,
ActionAid Nepal,DEC,HOMENET,,,,Lalitpur,Thecho,,Shelter,Fixings,Targeted group,50,50,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,Central,524 2 05 25,524 2 05 25 5 039,ActionAid NepalHOMENETLalitpurThechoShelterFixings5050,
ActionAid Nepal,DEC,HOMENET,,,,Lalitpur,Chapagaun,,Cash,Other Cash,Targeted group,,,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,Central,524 2 05 25,524 2 05 25 5 022,ActionAid NepalHOMENETLalitpurChapagaunCashOther Cash,
ActionAid Nepal,DEC,HOMENET,,,,Lalitpur,Chapagaun,,Shelter,CGI Bundle (72ft/bundle),Targeted group,100,50,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,Central,524 2 05 25,524 2 05 25 5 022,ActionAid NepalHOMENETLalitpurChapagaunShelterCGI Bundle (72ft/bundle)10050,Distribution of Shelter Material
ActionAid Nepal,DEC,HOMENET,,,,Lalitpur,Chapagaun,,Shelter,Tool Kits,Targeted group,50,50,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,Central,524 2 05 25,524 2 05 25 5 022,ActionAid NepalHOMENETLalitpurChapagaunShelterTool Kits5050,
ActionAid Nepal,DEC,HOMENET,,,,Lalitpur,Chapagaun,,Shelter,Construction Materials (Excluding CGI and Fixings),Targeted group,50,50,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,Central,524 2 05 25,524 2 05 25 5 022,ActionAid NepalHOMENETLalitpurChapagaunShelterConstruction Materials (Excluding CGI and Fixings)5050,
ActionAid Nepal,DEC,HURADEC Nepal Dolakha/ECARDS Dolakha,,,,Dolakha,Kalinchok,,Shelter,CGI Bundle (72ft/bundle),Targeted group,345,230,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 041,ActionAid NepalHURADEC Nepal Dolakha/ECARDS DolakhaDolakhaKalinchokShelterCGI Bundle (72ft/bundle)345230,Distribution of Shelter Material
ActionAid Nepal,DEC,HURADEC Nepal Dolakha/ECARDS Dolakha,,,,Dolakha,Kalinchok,,Shelter,Tool Kits,Targeted group,230,230,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 041,ActionAid NepalHURADEC Nepal Dolakha/ECARDS DolakhaDolakhaKalinchokShelterTool Kits230230,
ActionAid Nepal,DEC,HURADEC Nepal Dolakha/ECARDS Dolakha,,,,Dolakha,Kalinchok,,Shelter,Fixings,Targeted group,230,230,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 041,ActionAid NepalHURADEC Nepal Dolakha/ECARDS DolakhaDolakhaKalinchokShelterFixings230230,
ActionAid Nepal,DEC,HURADEC Nepal Dolakha/ECARDS Dolakha,,,,Dolakha,Kalinchok,,Cash,Other Cash,Targeted group,,230,,230,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 041,ActionAid NepalHURADEC Nepal Dolakha/ECARDS DolakhaDolakhaKalinchokCashOther Cash230,
ActionAid Nepal,DEC,HURADEC Nepal Dolakha/ECARDS Dolakha,,,,Dolakha,Gairimudi,,Shelter,CGI Bundle (72ft/bundle),Targeted group,405,270,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,Tractor access,East,524 2 04 22,524 2 04 22 5 002,ActionAid NepalHURADEC Nepal Dolakha/ECARDS DolakhaDolakhaGairimudiShelterCGI Bundle (72ft/bundle)405270,Distribution of Shelter Material
ActionAid Nepal,DEC,HURADEC Nepal Dolakha/ECARDS Dolakha,,,,Dolakha,Gairimudi,,Shelter,Tool Kits,Targeted group,270,270,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,Tractor access,East,524 2 04 22,524 2 04 22 5 002,ActionAid NepalHURADEC Nepal Dolakha/ECARDS DolakhaDolakhaGairimudiShelterTool Kits270270,
ActionAid Nepal,DEC,HURADEC Nepal Dolakha/ECARDS Dolakha,,,,Dolakha,Gairimudi,,Shelter,Fixings,Targeted group,270,270,,,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,Tractor access,East,524 2 04 22,524 2 04 22 5 002,ActionAid NepalHURADEC Nepal Dolakha/ECARDS DolakhaDolakhaGairimudiShelterFixings270270,
ActionAid Nepal,DEC,HURADEC Nepal Dolakha/ECARDS Dolakha,,,,Dolakha,Gairimudi,,Cash,Other Cash,Targeted group,270,270,,270,,Ongoing / In Country Stock,01/06/2015,01/11/2015,,16/08/2015,TRUE,Tractor access,East,524 2 04 22,524 2 04 22 5 002,ActionAid NepalHURADEC Nepal Dolakha/ECARDS DolakhaDolakhaGairimudiCashOther Cash270270,
ActionAid Nepal,RRF,CSRC,,,,Sindhupalchok,Kiul,,Shelter,CGI Bundle (72ft/bundle),All / Blanket,1347,898,,,,Completed,05/01/2015,30/07/2015,,16/08/2015,TRUE,,East,524 2 05 23,524 2 05 23 5 073,ActionAid NepalCSRCSindhupalchokKiulShelterCGI Bundle (72ft/bundle)1347898,Distribution of Shelter Material
ActionAid Nepal,RRF,CSRC,,,,Sindhupalchok,Kiul,,Shelter,Tool Kits,All / Blanket,898,898,,,,Completed,05/01/2015,30/07/2015,,16/08/2015,TRUE,,East,524 2 05 23,524 2 05 23 5 073,ActionAid NepalCSRCSindhupalchokKiulShelterTool Kits898898,
ActionAid Nepal,RRF,CSRC,,,,Sindhupalchok,Kiul,,Shelter,Fixings,All / Blanket,898,898,,,,Completed,05/01/2015,30/07/2015,,16/08/2015,TRUE,,East,524 2 05 23,524 2 05 23 5 073,ActionAid NepalCSRCSindhupalchokKiulShelterFixings898898,
ActionAid Nepal,RRF,CSRC,,,,Sindhupalchok,Kiul,,Cash,Other Cash,All / Blanket,,898,,898,,Completed,05/01/2015,30/07/2015,,16/08/2015,TRUE,,East,524 2 05 23,524 2 05 23 5 073,ActionAid NepalCSRCSindhupalchokKiulCashOther Cash898,
ActionAid Nepal,RRF,CSRC,,,,Sindhupalchok,Mahangkal,,Shelter,CGI Bundle (72ft/bundle),All / Blanket,1053,702,,,,Completed,06/01/2015,30/07/2015,,16/08/2015,TRUE,,East,524 2 05 23,524 2 05 23 5 059,ActionAid NepalCSRCSindhupalchokMahangkalShelterCGI Bundle (72ft/bundle)1053702,Distribution of Shelter Material
